source,target
April_Wine,Meat_Loaf
April_Wine,Peter_Frampton
April_Wine,Yes_(band)
Arcade_Fire,Radiohead
Arcade_Fire,David_Bowie
Arcade_Fire,U2
Arcade_Fire,Joy_Division
Arcade_Fire,Bruce_Springsteen
Arcade_Fire,Peter_Gabriel
Arcade_Fire,Beck
Arctic_Monkeys,The_Strokes
Arctic_Monkeys,Oasis_(band)
Arctic_Monkeys,Queens_of_the_Stone_Age
Arctic_Monkeys,Jimi_Hendrix
Arctic_Monkeys,Cream_(band)
Arctic_Monkeys,Arcade_Fire
Arctic_Monkeys,The_Black_Keys
Arctic_Monkeys,The_Beatles
Arctic_Monkeys,Elvis_Costello
Arctic_Monkeys,Black_Sabbath
Arctic_Monkeys,Royal_Blood_(band)
Arctic_Monkeys,Bring_Me_the_Horizon
Arctic_Monkeys,Rage_Against_the_Machine
Arctic_Monkeys,Radiohead
Arctic_Monkeys,The_Smiths
Arctic_Monkeys,Eagles_(band)
Arctic_Monkeys,John_Lennon
Arctic_Monkeys,The_Clash
Arctic_Monkeys,Led_Zeppelin
Arctic_Monkeys,The_Who
Arctic_Monkeys,The_Rolling_Stones
Arctic_Monkeys,Foo_Fighters
Arctic_Monkeys,Metallica
Arctic_Monkeys,Bob_Dylan
Arctic_Monkeys,David_Bowie
Arctic_Monkeys,Sam_Fender
Asia_(band),Uriah_Heep_(band)
Asia_(band),Yes_(band)
Asia_(band),"Emerson,_Lake_&_Palmer"
Asia_(band),Journey_(band)
Asia_(band),Electric_Light_Orchestra
Asia_(band),Styx_(band)
Asia_(band),Genesis_(band)
Asia_(band),Thin_Lizzy
Asia_(band),Toto_(band)
Asia_(band),Megadeth
Asia_(band),Alice_Cooper
Asia_(band),Steely_Dan
Asia_(band),Manfred_Mann's_Earth_Band
Asia_(band),AC/DC
Asia_(band),REO_Speedwagon
Audioslave,Chris_Cornell
Audioslave,Rage_Against_the_Machine
Audioslave,Soundgarden
Audioslave,Alice_in_Chains
Audioslave,The_Yardbirds
Audioslave,Led_Zeppelin
Audioslave,Black_Sabbath
Audioslave,Jimi_Hendrix
Audioslave,Elvis_Costello
Audioslave,Funkadelic
Audioslave,U2
Audioslave,System_of_a_Down
Avenged_Sevenfold,Chris_Cornell
Avenged_Sevenfold,Panic!_at_the_Disco
Avenged_Sevenfold,James_Blunt
Avenged_Sevenfold,Lacuna_Coil
Avenged_Sevenfold,Disturbed_(band)
Avenged_Sevenfold,System_of_a_Down
Avenged_Sevenfold,Bullet_for_My_Valentine
Avenged_Sevenfold,Pantera
Avenged_Sevenfold,Iron_Maiden
Avenged_Sevenfold,Guns_N'_Roses
Avenged_Sevenfold,Alter_Bridge
Avenged_Sevenfold,Three_Days_Grace
Avenged_Sevenfold,Seether
Avenged_Sevenfold,Black_Veil_Brides
Avenged_Sevenfold,Metallica
Avenged_Sevenfold,Cage_the_Elephant
Avenged_Sevenfold,Black_Sabbath
Avenged_Sevenfold,Led_Zeppelin
Avenged_Sevenfold,Five_Finger_Death_Punch
Avenged_Sevenfold,Motörhead
Avenged_Sevenfold,Rob_Zombie
Avenged_Sevenfold,Chevelle_(band)
Avenged_Sevenfold,Korn
Avenged_Sevenfold,Staind
Avenged_Sevenfold,The_Cult
Avenged_Sevenfold,Volbeat
Avenged_Sevenfold,Trivium_(band)
Avenged_Sevenfold,Alice_in_Chains
Avenged_Sevenfold,Slayer
Avenged_Sevenfold,The_Offspring
Avenged_Sevenfold,Breaking_Benjamin
Avenged_Sevenfold,Slipknot_(band)
Avenged_Sevenfold,Killswitch_Engage
Avenged_Sevenfold,Megadeth
Avenged_Sevenfold,Elton_John
Avenged_Sevenfold,Def_Leppard
Avenged_Sevenfold,The_Beatles
Avenged_Sevenfold,Anthrax_(American_band)
Avenged_Sevenfold,The_Rolling_Stones
Avril_Lavigne,Metallica
Avril_Lavigne,Green_Day
Avril_Lavigne,Our_Lady_Peace
Avril_Lavigne,Goo_Goo_Dolls
Avril_Lavigne,Nickelback
Avril_Lavigne,Joan_Jett
Avril_Lavigne,Boys_Like_Girls
Avril_Lavigne,Billy_Idol
Avril_Lavigne,Simple_Plan
Avril_Lavigne,Alanis_Morissette
Avril_Lavigne,Linkin_Park
Avril_Lavigne,Evanescence
Avril_Lavigne,Blink-182
Avril_Lavigne,Marilyn_Manson
Avril_Lavigne,The_Offspring
Avril_Lavigne,Sum_41
Avril_Lavigne,Sex_Pistols
Avril_Lavigne,Janis_Joplin
Avril_Lavigne,Hole_(band)
Avril_Lavigne,Marilyn_Manson_(band)
Avril_Lavigne,System_of_a_Down
Avril_Lavigne,Nirvana_(band)
Avril_Lavigne,No_Doubt
Avril_Lavigne,Radiohead
Avril_Lavigne,The_Cranberries
Avril_Lavigne,Coldplay
Avril_Lavigne,Oasis_(band)
Avril_Lavigne,Third_Eye_Blind
Avril_Lavigne,Matchbox_Twenty
Avril_Lavigne,Incubus_(band)
Avril_Lavigne,Dashboard_Confessional
Avril_Lavigne,The_Used
Avril_Lavigne,Paramore
Avril_Lavigne,John_Lennon
Awolnation,Red_Hot_Chili_Peppers
Awolnation,Pearl_Jam
Awolnation,Fall_Out_Boy
Awolnation,Twenty_One_Pilots
Awolnation,Goo_Goo_Dolls
Awolnation,The_Beatles
Awolnation,The_Cars
Awolnation,Scorpions_(band)
Awolnation,Incubus_(band)
Awolnation,Midnight_Oil
Awolnation,Rise_Against
Awolnation,311_(band)
Bachman–Turner_Overdrive,The_Guess_Who
Bachman–Turner_Overdrive,Neil_Young
Bachman–Turner_Overdrive,Uriah_Heep_(band)
Bachman–Turner_Overdrive,Rod_Stewart
Bachman–Turner_Overdrive,"Crosby,_Stills,_Nash_&_Young"
Bachman–Turner_Overdrive,Yes_(band)
Bachman–Turner_Overdrive,Thin_Lizzy
Bachman–Turner_Overdrive,Little_Richard
Bachman–Turner_Overdrive,April_Wine
Bachman–Turner_Overdrive,Bryan_Adams
Bachman–Turner_Overdrive,Van_Halen
Bachman–Turner_Overdrive,Elvis_Presley
Bachman–Turner_Overdrive,The_Rolling_Stones
Bachman–Turner_Overdrive,Creedence_Clearwater_Revival
Bachman–Turner_Overdrive,Led_Zeppelin
Bachman–Turner_Overdrive,The_Doobie_Brothers
Bad_Company,Led_Zeppelin
Bad_Company,Ted_Nugent
Bad_Company,Foreigner_(band)
Bad_Company,Uriah_Heep_(band)
Bad_Company,Deep_Purple
Bad_Company,Damn_Yankees_(band)
Bad_Company,Roxy_Music
Bad_Company,Small_Faces
Bad_Company,Lynyrd_Skynyrd
Bad_Company,Bon_Jovi
Bad_Company,Styx_(band)
Bad_Company,Billy_Squier
Bad_Company,Guns_N'_Roses
Bad_Company,Journey_(band)
Bad_Company,Heart_(band)
Bad_Company,Joe_Walsh
Bad_Company,The_Black_Crowes
Badfinger,The_Beatles
Badfinger,Paul_McCartney
Badfinger,George_Harrison
Badfinger,Harry_Nilsson
Badfinger,The_Who
Badfinger,The_Moody_Blues
Badfinger,The_Yardbirds
Badfinger,The_Kinks
Badfinger,James_Taylor
Badfinger,John_Lennon
Badfinger,Ringo_Starr
Badfinger,Kiss_(band)
Badfinger,Peter_Frampton
Badfinger,Sex_Pistols
Badfinger,Yes_(band)
Badfinger,Chicago_(band)
Badfinger,David_Bowie
Badfinger,Herman's_Hermits
Barenaked_Ladies,Peter_Gabriel
Barenaked_Ladies,Bob_Dylan
Barenaked_Ladies,Beastie_Boys
Barenaked_Ladies,Genesis_(band)
Barenaked_Ladies,U2
Barenaked_Ladies,Gin_Blossoms
Barenaked_Ladies,Rush_(band)
Barenaked_Ladies,Bryan_Adams
Barenaked_Ladies,Steely_Dan
Barenaked_Ladies,Dave_Matthews_Band
Barenaked_Ladies,Paul_McCartney
Barenaked_Ladies,John_Lennon
Bay_City_Rollers,The_Beatles
Bay_City_Rollers,The_Kinks
Bay_City_Rollers,Mitch_Ryder
Bay_City_Rollers,The_Four_Seasons_(band)
Bay_City_Rollers,David_Bowie
Bay_City_Rollers,The_Cars
Beastie_Boys,Sex_Pistols
Beastie_Boys,Run-DMC
Beastie_Boys,Sly_and_the_Family_Stone
Beastie_Boys,The_Smashing_Pumpkins
Beastie_Boys,Rage_Against_the_Machine
Beastie_Boys,Kid_Rock
Beastie_Boys,Live_(band)
Beastie_Boys,R.E.M.
Beastie_Boys,U2
Beastie_Boys,Limp_Bizkit
Beastie_Boys,Sublime_(band)
Beastie_Boys,Blur_(band)
Beastie_Boys,Elvis_Presley
Beck,Sonic_Youth
Beck,X_(American_band)
Beck,Radiohead
Beck,Tom_Petty
Beck,Nine_Inch_Nails
Beck,Nirvana_(band)
Beck,The_Flaming_Lips
Beck,The_Rolling_Stones
Beck,The_Zombies
Beck,The_Velvet_Underground
Beck,Beastie_Boys
Beck,INXS
Beck,Neil_Young
Beck,Fun_(band)
Beck,David_Bowie
Beck,Paul_McCartney
Beck,Talking_Heads
Beck,Lynyrd_Skynyrd
Beck,ZZ_Top
Beck,Sting_(musician)
Beck,R.E.M.
Beck,Foo_Fighters
Beck,Green_Day
Beck,System_of_a_Down
Beck,My_Chemical_Romance
Beck,Imagine_Dragons
Bee_Gees,Elvis_Presley
Bee_Gees,The_Beatles
Bee_Gees,Paul_McCartney
Bee_Gees,Chubby_Checker
Bee_Gees,The_Rolling_Stones
Bee_Gees,Sly_and_the_Family_Stone
Bee_Gees,Eagles_(band)
Bee_Gees,Jerry_Lee_Lewis
Bee_Gees,Chuck_Berry
Bee_Gees,Eric_Clapton
Bee_Gees,John_Lennon
Bee_Gees,Peter_Frampton
Bee_Gees,ABBA
Bee_Gees,The_Everly_Brothers
Bee_Gees,Roy_Orbison
Bee_Gees,The_Beach_Boys
Bee_Gees,The_Hollies
Bee_Gees,Rod_Stewart
Bee_Gees,Phil_Collins
Bee_Gees,Glenn_Frey
Bee_Gees,Joe_Walsh
Ben_Folds_Five,Steely_Dan
Ben_Folds_Five,Barenaked_Ladies
Ben_Folds_Five,The_Flaming_Lips
Bill_Haley_&_His_Comets,Elvis_Presley
Bill_Haley_&_His_Comets,Little_Richard
Bill_Haley_&_His_Comets,Jerry_Lee_Lewis
Bill_Haley_&_His_Comets,Chubby_Checker
Billy_Idol,Sex_Pistols
Billy_Idol,The_Clash
Billy_Idol,The_Rolling_Stones
Billy_Idol,Def_Leppard
Billy_Idol,Adam_Ant
Billy_Idol,The_Fixx
Billy_Idol,The_Police
Billy_Idol,Kiss_(band)
Billy_Idol,Tommy_James_and_the_Shondells
Billy_Idol,The_Who
Billy_Idol,Simple_Minds
Billy_Idol,Yes_(band)
Billy_Idol,Journey_(band)
Billy_Idol,Bruce_Springsteen
Billy_Idol,Lou_Reed
Billy_Idol,Green_Day
Billy_Idol,Sum_41
Billy_Joel,Elvis_Presley
Billy_Joel,The_Everly_Brothers
Billy_Joel,The_Beatles
Billy_Joel,John_Lennon
Billy_Joel,The_J._Geils_Band
Billy_Joel,The_Beach_Boys
Billy_Joel,Badfinger
Billy_Joel,Bo_Diddley
Billy_Joel,Elton_John
